timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-03T00:00:00.000Z";"2025-04-03T23:59:59.999Z";"2025-04-03T03:02:00.000Z";"2025-04-03T15:07:00.000Z";"2781";12.9347331162;13.2955750604;12.3298064004;12.8790123382;486341954.78;8462782004.15;"2025-04-03T23:59:59.999Z"
"2025-04-02T00:00:00.000Z";"2025-04-02T23:59:59.999Z";"2025-04-02T20:19:00.000Z";"2025-04-02T23:26:00.000Z";"2781";14.0428982357;14.2835255945;12.8338422004;12.9345476694;644842106.64;8499412748.44;"2025-04-02T23:59:59.999Z"
"2025-04-01T00:00:00.000Z";"2025-04-01T23:59:59.999Z";"2025-04-01T16:19:00.000Z";"2025-04-01T00:02:00.000Z";"2781";13.512476615;14.3673533681;13.5032383403;14.0428982357;326570057.51;9227588015.78;"2025-04-01T23:59:59.999Z"
"2025-03-31T00:00:00.000Z";"2025-03-31T23:59:59.999Z";"2025-03-31T19:25:00.000Z";"2025-03-31T09:59:00.000Z";"2781";13.3873373528;13.695155555;12.9895311468;13.512476615;315365160.81;8879047984.43;"2025-03-31T23:59:59.999Z"
"2025-03-30T00:00:00.000Z";"2025-03-30T23:59:59.999Z";"2025-03-30T09:34:00.000Z";"2025-03-30T22:11:00.000Z";"2781";13.5458994278;13.8427019026;13.2256847242;13.3873077565;237053890.77;8796818978.96;"2025-03-30T23:59:59.999Z"
"2025-03-29T00:00:00.000Z";"2025-03-29T23:59:59.999Z";"2025-03-29T00:44:00.000Z";"2025-03-29T22:53:00.000Z";"2781";14.2443780221;14.3917045952;13.4034388695;13.5459893155;264280829.4;8901010113.78;"2025-03-29T23:59:59.999Z"
"2025-03-28T00:00:00.000Z";"2025-03-28T23:59:59.999Z";"2025-03-28T01:46:00.000Z";"2025-03-28T16:54:00.000Z";"2781";15.5078799506;15.5613840762;14.0300115407;14.2448562017;395430630.71;9359980377.44;"2025-03-28T23:59:59.999Z"
"2025-03-27T00:00:00.000Z";"2025-03-27T23:59:59.999Z";"2025-03-27T15:20:00.000Z";"2025-03-27T00:27:00.000Z";"2781";15.258923828;15.7718473543;15.1949571405;15.5078011739;337839460.02;10190227457.34;"2025-03-27T23:59:59.999Z"
"2025-03-26T00:00:00.000Z";"2025-03-26T23:59:59.999Z";"2025-03-26T11:16:00.000Z";"2025-03-26T19:17:00.000Z";"2781";15.4561789962;15.9900316316;14.9861583051;15.25917367;371764956.88;10026638396.54;"2025-03-26T23:59:59.999Z"
"2025-03-25T00:00:00.000Z";"2025-03-25T23:59:59.999Z";"2025-03-25T20:27:00.000Z";"2025-03-25T04:04:00.000Z";"2781";15.0898469091;15.5829637011;14.8945163959;15.4550785828;325368584.94;10156254761.71;"2025-03-25T23:59:59.999Z"
"2025-03-24T00:00:00.000Z";"2025-03-24T23:59:59.999Z";"2025-03-24T14:19:00.000Z";"2025-03-24T02:03:00.000Z";"2781";14.4353457442;15.327878039;14.1801170012;15.0892121318;412387399.54;9915537958.11;"2025-03-24T23:59:59.999Z"
"2025-03-23T00:00:00.000Z";"2025-03-23T23:59:59.999Z";"2025-03-23T11:32:00.000Z";"2025-03-23T00:00:00.000Z";"2781";14.2266974911;14.4706301202;14.2266974911;14.4356897922;219487165.27;9485465262;"2025-03-23T23:59:59.999Z"
"2025-03-22T00:00:00.000Z";"2025-03-22T23:59:59.999Z";"2025-03-22T20:16:00.000Z";"2025-03-22T00:07:00.000Z";"2781";13.9591645277;14.4852150929;13.9497658343;14.2267220708;193855289.7;9348362501.07;"2025-03-22T23:59:59.999Z"
"2025-03-21T00:00:00.000Z";"2025-03-21T23:59:59.999Z";"2025-03-21T02:04:00.000Z";"2025-03-21T16:07:00.000Z";"2781";14.2151014545;14.3728267343;13.847297188;13.9590588104;221482759.74;9172566598.67;"2025-03-21T23:59:59.999Z"
"2025-03-20T00:00:00.000Z";"2025-03-20T23:59:59.999Z";"2025-03-20T00:07:00.000Z";"2025-03-20T16:55:00.000Z";"2781";15.0141277287;15.1058036176;14.1044744807;14.215101564;323567351.74;9340742745.74;"2025-03-20T23:59:59.999Z"
"2025-03-19T00:00:00.000Z";"2025-03-19T23:59:59.999Z";"2025-03-19T23:48:00.000Z";"2025-03-19T02:11:00.000Z";"2781";13.9232916534;15.0182827776;13.7946734609;15.0127868435;522294648.85;9865782886.88;"2025-03-19T23:59:59.999Z"
"2025-03-18T00:00:00.000Z";"2025-03-18T23:59:59.999Z";"2025-03-18T08:38:00.000Z";"2025-03-18T18:36:00.000Z";"2781";14.0353328704;14.2235334152;13.4990433805;13.9232916534;324927310.56;9148994534.05;"2025-03-18T23:59:59.999Z"
"2025-03-17T00:00:00.000Z";"2025-03-17T23:59:59.999Z";"2025-03-17T20:20:00.000Z";"2025-03-17T00:04:00.000Z";"2781";13.3708814361;14.2108869439;13.3657007792;14.0354039213;341264521.57;9222616814.47;"2025-03-17T23:59:59.999Z"
"2025-03-16T00:00:00.000Z";"2025-03-16T23:59:59.999Z";"2025-03-16T09:02:00.000Z";"2025-03-16T23:10:00.000Z";"2781";14.0377166251;14.1652851308;13.2407147067;13.3710517886;285275119.2;8786005796.63;"2025-03-16T23:59:59.999Z"
"2025-03-15T00:00:00.000Z";"2025-03-15T23:59:59.999Z";"2025-03-15T05:05:00.000Z";"2025-03-15T00:03:00.000Z";"2781";13.6789846303;14.2274592373;13.6682209418;14.0378214784;322037633.54;9224183179.58;"2025-03-15T23:59:59.999Z"
"2025-03-14T00:00:00.000Z";"2025-03-14T23:59:59.999Z";"2025-03-14T19:22:00.000Z";"2025-03-14T00:14:00.000Z";"2781";13.0274536133;14.6501034117;13.0161845966;13.6795688705;987360764.09;8988460396.38;"2025-03-14T23:59:59.999Z"
"2025-03-13T00:00:00.000Z";"2025-03-13T23:59:59.999Z";"2025-03-13T12:31:00.000Z";"2025-03-13T18:01:00.000Z";"2781";13.4823757959;13.5418910151;12.7410032455;13.0274536133;364752318.18;8312817765.7;"2025-03-13T23:59:59.999Z"
